date,plant_system,plant_no,height,length,weight,leaves,branches
2026-02-06,AERO,1,20.9,34.2,7,66,5
2026-02-07,AERO,1,21,34.4,7,72,5
2026-02-09,AERO,1,21.2,34.7,7,78,6
2026-02-10,AERO,1,21.4,34.9,7,84,6
2026-02-11,AERO,1,21.6,35.2,7,90,6
2026-02-12,AERO,1,21.8,35.6,8,96,7
2026-02-13,AERO,1,21.9,35.8,9,102,8
2026-02-14,AERO,1,22.1,36.1,10,108,10
2026-02-16,AERO,1,22.3,36.5,13,120,12
2026-02-18,AERO,1,22.7,37,14,132,13
2026-02-19,AERO,1,22.8,37.1,14,144,14
2026-02-20,AERO,1,23,37.3,15,152,15
2026-02-21,AERO,1,23.2,37.6,15,158,15
2026-02-23,AERO,1,23.5,37.9,16,140,16
2026-02-24,AERO,1,23.6,38.1,15,142,16
2026-02-26,AERO,1,23.9,38.5,16,148,16
2026-02-27,AERO,1,24,38.7,16,174,15
2026-02-28,AERO,1,24.2,38.9,17,197,19
2026-03-02,AERO,1,24.7,39.3,17,210,23
2026-03-03,AERO,1,24.9,39.5,15,223,22
2026-03-04,AERO,1,24.7,39.8,16,241,23
2026-03-05,AERO,1,24.5,40,16,248,25
2026-03-06,AERO,1,23.9,40.4,16,262,25
2026-03-07,AERO,1,21.2,37.2,15,275,25
2026-03-09,AERO,1,18.4,37.2,17,291,34
2026-03-10,AERO,1,18.4,36.7,17,297,34
2026-03-11,AERO,1,17,36.5,18,302,34
2026-03-12,AERO,1,17,36.7,18,312,34
2026-03-13,AERO,1,17,36.9,18,321,34
2026-03-14,AERO,1,17,37.1,16,325,34
2026-03-16,AERO,1,17,37.6,16,322,34
2026-03-17,AERO,1,17,38,17,326,35
2026-02-06,AERO,2,22.4,48,8,31,6
2026-02-07,AERO,2,22.4,48.2,8,33,6
2026-02-09,AERO,2,22.8,48.8,8,35,6
2026-02-10,AERO,2,23,49.2,8,37,6
2026-02-11,AERO,2,23.2,49.5,8,39,5
2026-02-12,AERO,2,23.5,49.8,9,43,6
2026-02-13,AERO,2,23.7,50.1,9,44,6
2026-02-14,AERO,2,24,50.5,9,45,8
2026-02-16,AERO,2,24.3,51,10,48,10
2026-02-18,AERO,2,24.8,51.5,11,50,12
2026-02-19,AERO,2,25,51.7,10,52,14
2026-02-20,AERO,2,25.2,52,11,65,16
2026-02-21,AERO,2,25.3,52.3,10,72,17
2026-02-23,AERO,2,25.7,52.9,11,84,19
2026-02-24,AERO,2,26,53.4,11,96,19
2026-02-26,AERO,2,26.8,53.6,12,155,21
2026-02-27,AERO,2,27,53.8,13,187,22
2026-02-28,AERO,2,27.5,54.3,14,193,23
2026-03-02,AERO,2,28.7,56,16,202,25
2026-03-03,AERO,2,28.8,56.2,16,222,26
2026-03-04,AERO,2,28.9,56.5,16,241,27
2026-03-05,AERO,2,28.9,56.8,17,253,28
2026-03-06,AERO,2,29.1,57,17,257,27
2026-03-07,AERO,2,29.4,57.4,18,273,28
2026-03-09,AERO,2,30.5,58.7,21,299,30
2026-03-10,AERO,2,30.5,59.1,21,311,30
2026-03-11,AERO,2,30.7,59.5,22,323,30
2026-03-12,AERO,2,31.3,60.1,24,350,30
2026-03-13,AERO,2,31.3,60.1,24,339,32
2026-03-14,AERO,2,31.3,60.2,24,308,32
2026-03-16,AERO,2,32,60.8,25,312,33
2026-03-17,AERO,2,32.3,61,26,314,34
2026-02-06,AERO,3,22.6,36.5,11,95,9
2026-02-07,AERO,3,22.7,36.7,11,100,10
2026-02-09,AERO,3,23.1,37.3,12,105,11
2026-02-10,AERO,3,23.5,37.9,12,110,12
2026-02-11,AERO,3,23.7,38.1,12,115,12
2026-02-12,AERO,3,24,38.5,13,125,14
2026-02-13,AERO,3,24.1,38.8,12,128,14
2026-02-14,AERO,3,24.3,39.1,12,132,18
2026-02-16,AERO,3,25,39.8,13,145,21
2026-02-18,AERO,3,25.5,40.6,13,151,23
2026-02-19,AERO,3,25.6,40.7,13,168,25
2026-02-20,AERO,3,25.7,40.9,15,159,26
2026-02-21,AERO,3,25.9,41.3,14,165,27
2026-02-23,AERO,3,26.4,41.8,15,197,29
2026-02-24,AERO,3,26.7,42.1,16,222,28
2026-02-26,AERO,3,27.1,42.7,18,243,31
2026-02-27,AERO,3,27.2,43,20,264,32
