date,plant_system,plant_no,height,length,weight,leaves,branches
2026-02-06,DWC,1,24,50.9,11,93,9
2026-02-07,DWC,1,24.2,51.2,12,95,9
2026-02-09,DWC,1,24.6,51.8,12,98,12
2026-02-10,DWC,1,24.9,52.1,11,98,14
2026-02-11,DWC,1,25.1,52.4,12,106,11
2026-02-12,DWC,1,25.5,52.8,14,102,12
2026-02-13,DWC,1,25.9,53.2,14,109,14
2026-02-14,DWC,1,26,53.3,13,111,15
2026-02-16,DWC,1,26.8,54.2,18,128,18
2026-02-18,DWC,1,27.3,54.8,21,113,24
2026-02-19,DWC,1,27.5,55.1,21,127,29
2026-02-20,DWC,1,27.8,55.5,21,154,28
2026-02-21,DWC,1,28.3,56,22,169,31
2026-02-23,DWC,1,29.1,57.3,23,166,28
2026-02-24,DWC,1,29.5,57.7,24,193,39
2026-02-26,DWC,1,31.1,58.4,25,208,44
2026-02-27,DWC,1,31.4,58.7,25,179,39
2026-02-28,DWC,1,31.7,59.1,26,182,40
2026-03-02,DWC,1,32.5,60.1,27,230,49
2026-03-03,DWC,1,32.7,60.4,28,230,49
2026-03-04,DWC,1,32.9,60.7,29,259,47
2026-03-05,DWC,1,33.1,61.2,29,272,49
2026-03-06,DWC,1,33.4,61.5,29,285,52
2026-03-07,DWC,1,33.6,61.7,31,293,53
2026-03-09,DWC,1,34.1,62.8,31,297,53
2026-03-10,DWC,1,34.2,63.2,30,337,53
2026-03-11,DWC,1,34.3,64.4,31,357,53
2026-03-12,DWC,1,34.3,64.5,31,378,53
2026-03-13,DWC,1,34.5,64.8,32,385,52
2026-03-14,DWC,1,34.6,65,30,390,53
2026-03-16,DWC,1,35.5,65.5,30,393,55
2026-03-17,DWC,1,35.6,65.5,30,390,56
2026-02-06,DWC,2,31.6,41.1,5,52,10
2026-02-07,DWC,2,31.8,41.4,4,50,11
2026-02-09,DWC,2,32.2,41.9,6,55,13
2026-02-10,DWC,2,32.5,42.2,6,57,14
2026-02-11,DWC,2,32.7,42.6,7,56,12
2026-02-12,DWC,2,32.9,42.8,7,60,12
2026-02-13,DWC,2,33,43,8,62,13
2026-02-14,DWC,2,33.2,43.3,7,63,13
2026-02-16,DWC,2,33.4,43.5,8,57,16
2026-02-18,DWC,2,33.7,43.8,13,56,12
2026-02-19,DWC,2,34.1,44.3,12,63,14
2026-02-20,DWC,2,34.4,44.6,13,71,17
2026-02-21,DWC,2,34.6,44.9,13,81,17
2026-02-23,DWC,2,35,45.3,13,84,18
2026-02-24,DWC,2,35.2,45.5,14,103,18
2026-02-26,DWC,2,35.7,46.2,15,110,19
2026-02-27,DWC,2,36.1,46.6,15,122,19
2026-02-28,DWC,2,36.2,46.8,16,129,20
2026-03-02,DWC,2,37.7,48.1,17,134,21
2026-03-03,DWC,2,37.8,48.2,17,139,21
2026-03-04,DWC,2,38.1,48.5,18,155,21
2026-03-05,DWC,2,38.2,48.9,19,161,21
2026-03-06,DWC,2,38.4,49.1,19,169,22
2026-03-07,DWC,2,38.5,49.5,17,172,22
2026-03-09,DWC,2,39.3,57.4,19,163,22
2026-03-10,DWC,2,39.4,53.9,19,167,21
2026-03-11,DWC,2,40,54.6,20,172,32
2026-03-12,DWC,2,40.3,54.9,21,175,44
2026-03-13,DWC,2,40.5,55.1,21,199,44
2026-03-14,DWC,2,40.5,55.3,23,189,44
2026-03-16,DWC,2,41,56,21,192,46
2026-03-17,DWC,2,41.1,56.3,25,193,47
2026-02-06,DWC,3,37.5,64.3,8,31,2
2026-02-07,DWC,3,37.7,64.5,9,33,2
2026-02-09,DWC,3,38.2,64,9,37,4
2026-02-10,DWC,3,38.5,64.3,10,41,4
2026-02-11,DWC,3,38.7,64.6,10,41,6
2026-02-12,DWC,3,39.1,65.1,11,52,5
2026-02-13,DWC,3,39.4,65.4,9,54,5
2026-02-14,DWC,3,39.4,65.5,10,65,7
2026-02-16,DWC,3,39.6,65.7,10,78,6
2026-02-18,DWC,3,39.7,65.9,13,82,9
2026-02-19,DWC,3,39.9,66.2,11,85,10
2026-02-20,DWC,3,34.1,66.5,12,87,10
2026-02-21,DWC,3,34.3,66.7,12,87,10
2026-02-23,DWC,3,34.5,66.9,14,92,12
2026-02-24,DWC,3,34.7,67.2,13,92,14
2026-02-26,DWC,3,35,67.5,13,96,18
2026-02-27,DWC,3,35.2,67.7,12,98,19
2026-02-28,DWC,3,35.3,67.8,12,98,20
