,,PLANT 1,,,,,PLANT 2,,,,,PLANT 3,,,,,PLANT 4,,,,,PLANT 5,,,,,PLANT 6,,,,
,DAY,H,L,LV,BR,W,H,L,LV,BR,W,H,L,LV,BR,W,H,L,LV,BR,W,H,L,LV,BR,W,H,L,LV,BR,W
"Feb 6, Fri",1,20.9,34.2,66,5,7,22.4,48,31,6,8,22.6,36.5,95,9,11,33.9,17.9,58,7,9,33,60.6,71,12,5,29.4,42.2,56,12,9
"Feb 7, Sat",2,21,34.4,72,5,7,22.4,48.2,33,6,8,22.7,36.7,100,10,11,34.1,18.1,62,7,9,33.2,60.9,76,13,5,29.6,42.5,61,13,9
"Feb 8, Sun",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 9, Mon",4,21.2,34.7,78,6,7,22.8,48.8,35,6,8,23.1,37.3,105,11,12,34.5,18.6,66,8,10,33.4,61.1,81,14,5,29.8,42.8,66,14,9
"Feb 10, Tue",5,21.4,34.9,84,6,7,23,49.2,37,6,8,23.5,37.9,110,12,12,34.7,19,70,8,10,33.6,61.4,86,15,5,30,43.2,71,15,9
"Feb 11, Wed",6,21.6,35.2,90,6,7,23.2,49.5,39,5,8,23.7,38.1,115,12,12,34.8,19.2,74,9,10,33.9,61.8,91,16,5,30.2,43.5,76,16,9
"Feb 12, Thurs",7,21.8,35.6,96,7,8,23.5,49.8,43,6,9,24,38.5,125,14,13,35.1,19.6,82,10,11,34.1,62.1,101,16,6,30.5,44,86,18,10
"Feb 13, Fri",8,21.9,35.8,102,8,9,23.7,50.1,44,6,9,24.1,38.8,128,14,12,35.3,19.8,82,11,11,34.2,62.2,102,18,8,30.6,44.3,94,18,11
"Feb 14, Sat",9,22.1,36.1,108,10,10,24,50.5,45,8,9,24.3,39.1,132,18,12,35.4,20.1,85,11,11,34.5,62.7,108,20,12,30.8,44.6,102,18,13
"Feb 15, Sun",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
