,,PLANT 1,,,,,PLANT 2,,,,,PLANT 3,,,,,PLANT 4,,,,,PLANT 5,,,,,PLANT 6,,,,
,DAY,H,L,LV,BR,W,H,L,LV,BR,W,H,L,LV,BR,W,H,L,LV,BR,W,H,L,LV,BR,W,H,L,LV,BR,W
"Feb 6, Fri",1,24,50.9,93,9,11,31.6,41.1,52,10,5,37.5,64.3,31,2,8,28.1,40.9,51,11,8,37.5,49.8,29,8,5,33.2,51.2,32,6,5
"Feb 7, Sat",2,24.2,51.2,95,9,12,31.8,41.4,50,11,4,37.7,64.5,33,2,9,28.2,41.1,54,14,8,37.7,50.1,29,8,5,33.5,51.6,29,7,6
"Feb 8, Sun",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 9, Mon",4,24.6,51.8,98,12,12,32.2,41.9,55,13,6,38.2,64,37,4,9,28.4,41.3,63,14,9,38.4,50.9,34,10,6,33.8,52,35,8,7
"Feb 10, Tue",5,24.9,52.1,98,14,11,32.5,42.2,57,14,6,38.5,64.3,41,4,10,28.5,41.5,68,16,9,38.8,51.3,38,9,6,34,52.4,39,8,9
"Feb 11, Wed",6,25.1,52.4,106,11,12,32.7,42.6,56,12,7,38.7,64.6,41,6,10,28.7,41.8,71,16,10,39.3,52.1,41,9,8,34.1,52.6,42,8,9
"Feb 12, Thurs",7,25.5,52.8,102,12,14,32.9,42.8,60,12,7,39.1,65.1,52,5,11,29,42.1,69,18,11,39.5,52.4,45,11,8,34.3,52.8,43,10,10
"Feb 13, Fri",8,25.9,53.2,109,14,14,33,43,62,13,8,39.4,65.4,54,5,9,29.2,42.3,75,16,12,40,53.1,47,11,10,34.5,53.1,45,10,11
"Feb 14, Sat",9,26,53.3,111,15,13,33.2,43.3,63,13,7,39.4,65.5,65,7,10,29.4,42.5,79,20,12,40.3,53.5,51,11,9,34.7,53.3,48,10,10
"Feb 15, Sun",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 16, Mon",11,26.8,54.2,128,18,18,33.4,43.5,57,16,8,39.6,65.7,78,6,10,29.8,42.9,88,18,11,40.9,54.2,60,9,11,35.3,54,58,8,13
"Feb 17, Tue",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 18, Wed",13,27.3,54.8,113,24,21,33.7,43.8,56,12,13,39.7,65.9,82,9,13,30.3,43.5,102,21,15,41.2,54.6,72,8,13,35.8,54.6,64,7,16
"Feb 19, Thurs",14,27.5,55.1,127,29,21,34.1,44.3,63,14,12,39.9,66.2,85,10,11,30.6,43.8,110,18,15,41.5,55,77,11,15,36,54.8,59,7,16
"Feb 20, Fri",15,27.8,55.5,154,28,21,34.4,44.6,71,17,13,34.1,66.5,87,10,12,30.8,44,115,19,15,41.6,55.1,94,11,15,36.1,55.1,83,9,17
"Feb 21, Sat",16,28.3,56,169,31,22,34.6,44.9,81,17,13,34.3,66.7,87,10,12,30.9,44.2,121,21,16,41.7,55.3,104,12,17,36.3,55.5,86,12,18
"Feb 22, Sun",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 23, Mon",18,29.1,57.3,166,28,23,35,45.3,84,18,13,34.5,66.9,92,12,14,31.2,44.5,142,27,16,42,55.6,110,16,19,36.5,55.7,91,20,17
"Feb 24, Tue",19,29.5,57.7,193,39,24,35.2,45.5,103,18,14,34.7,67.2,92,14,13,31.3,44.7,148,27,18,42,55.8,130,17,17,36.7,55.9,101,22,18
"Feb 25, Wed",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 26, Thurs",21,31.1,58.4,208,44,25,35.7,46.2,110,19,15,35,67.5,96,18,13,31.7,45.1,209,32,17,42.5,56.5,122,21,18,37.2,56.5,148,22,20
"Feb 27, Fri",22,31.4,58.7,179,39,25,36.1,46.6,122,19,15,35.2,67.7,98,19,12,31.9,45.3,202,29,19,42.9,56.9,171,17,25,37.4,56.7,133,20,22
"Feb 28, Sat",23,31.7,59.1,182,40,26,36.2,46.8,129,20,16,35.3,67.8,98,20,12,32.1,45.6,135,28,18,43,57.1,115,19,24,37.5,57,92,22,22
"Mar 1, Sun",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 2, Mon",25,32.5,60.1,230,49,27,37.7,48.1,134,21,17,35.7,68.3,100,22,13,32.3,45.8,175,33,16,43.8,57.9,176,30,24,38.1,58.8,153,26,23
"Mar 3, Tue",26,32.7,60.4,230,49,28,37.8,48.2,139,21,17,35.9,68.6,104,23,14,32.4,46,180,32,16,44.1,58.3,180,31,28,38.3,59,160,26,24
"Mar 4, Wed",27,32.9,60.7,259,47,29,38.1,48.5,155,21,18,36.1,68.8,118,23,15,32.8,46.4,192,30,17,44.5,58.7,184,22,29,38.5,59.2,167,22,22
"Mar 5, Thurs",28,33.1,61.2,272,49,29,38.2,48.9,161,21,19,36.4,69.2,128,23,16,33.3,46.9,202,32,19,44.9,59.1,190,31,32,38.8,59.7,177,26,25
"Mar 6, Fri",29,33.4,61.5,285,52,29,38.4,49.1,169,22,19,36.6,69.5,135,23,16,33.5,47.2,205,34,19,45.1,59.3,195,31,32,39,59.8,185,28,25
"Mar 7, Sat",30,33.6,61.7,293,53,31,38.5,49.5,172,22,17,36.7,69.7,141,23,14,33.5,47.4,201,34,19,45.2,59.5,210,31,32,39.2,60.2,193,29,25
"Mar 8, Sun",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 9, Mon",32,34.1,62.8,297,53,31,39.3,57.4,163,22,19,37.1,70.1,144,28,15,33.9,47.9,208,34,20,46.1,60.4,249,34,36,39.8,61,201,32,31
"Mar 10, Tue",33,34.2,63.2,337,53,30,39.4,53.9,167,21,19,37.2,70.2,161,26,15,34.1,48.1,213,37,20,46.2,60.5,271,36,40,39.9,61.2,219,32,29
"Mar 11, Wed",34,34.3,64.4,357,53,31,40,54.6,172,32,20,37.5,70.6,170,26,15,34.4,48.5,257,37,22,46.5,60.9,297,36,44,40.2,61.6,237,32,30
"Mar 12, Thurs",35,34.3,64.5,378,53,31,40.3,54.9,175,44,21,37.8,70.9,148,16,15,34.7,48.8,260,37,23,46.9,61.3,301,34,45,40.4,61.8,277,32,30
"Mar 13, Fri",36,34.5,64.8,385,52,32,40.5,55.1,199,44,21,38.1,71.3,123,16,15,34.9,49,280,37,24,47.2,61.6,348,36,46,40.6,62.2,274,34,30
"Mar 14, Sat",37,34.6,65,390,53,30,40.5,55.3,189,44,23,38.4,71.6,125,15,14,35.3,49.4,270,37,25,47.4,61.8,344,38,48,40.6,64.4,284,34,32
"Mar 15, Sun",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 16, Mon",39,35.5,65.5,393,55,30,41,56,192,46,21,38.6,71.9,126,15,15,35.9,49.9,276,38,23,47.4,62.3,348,38,49,41.2,64.9,291,36,32
"Mar 17, Tue",40,35.6,65.5,390,56,30,41.1,56.3,193,47,25,39,72.3,128,15,14,36.2,50.1,280,38,22,48,62.9,352,39,50,41.5,65.3,293,36,32
