plant_id,timestamp,height_cm,weight_g,leaf_count,branch_count
1,2026-02-06T00:00:00,24.0,11.0,93,9
1,2026-02-07T00:00:00,24.2,12.0,95,9
1,2026-02-09T00:00:00,24.6,12.0,98,12
1,2026-02-10T00:00:00,24.9,11.0,98,14
1,2026-02-11T00:00:00,25.1,12.0,106,11
1,2026-02-12T00:00:00,25.5,14.0,102,12
1,2026-02-13T00:00:00,25.9,14.0,109,14
1,2026-02-14T00:00:00,26.0,13.0,111,15
1,2026-02-16T00:00:00,26.8,18.0,128,18
1,2026-02-18T00:00:00,27.3,21.0,113,24
1,2026-02-19T00:00:00,27.5,21.0,127,29
1,2026-02-20T00:00:00,27.8,21.0,154,28
1,2026-02-21T00:00:00,28.3,22.0,169,31
1,2026-02-23T00:00:00,29.1,23.0,166,28
1,2026-02-24T00:00:00,29.5,24.0,193,39
1,2026-02-26T00:00:00,31.1,25.0,208,44
1,2026-02-27T00:00:00,31.4,25.0,179,39
1,2026-02-28T00:00:00,31.7,26.0,182,40
1,2026-03-02T00:00:00,32.5,27.0,230,49
1,2026-03-03T00:00:00,32.7,28.0,230,49
1,2026-03-04T00:00:00,32.9,29.0,259,47
1,2026-03-05T00:00:00,33.1,29.0,272,49
1,2026-03-06T00:00:00,33.4,29.0,285,52
1,2026-03-07T00:00:00,33.6,31.0,293,53
1,2026-03-09T00:00:00,34.1,31.0,297,53
1,2026-03-10T00:00:00,34.2,30.0,337,53
1,2026-03-11T00:00:00,34.3,31.0,357,53
1,2026-03-12T00:00:00,34.3,31.0,378,53
1,2026-03-13T00:00:00,34.5,32.0,385,52
1,2026-03-14T00:00:00,34.6,30.0,390,53
1,2026-03-16T00:00:00,35.5,30.0,393,55
1,2026-03-17T00:00:00,35.6,30.0,390,56
101,2026-02-06T00:00:00,20.9,7.0,66,5
101,2026-02-07T00:00:00,21.0,7.0,72,5
101,2026-02-09T00:00:00,21.2,7.0,78,6
101,2026-02-10T00:00:00,21.4,7.0,84,6
101,2026-02-11T00:00:00,21.6,7.0,90,6
101,2026-02-12T00:00:00,21.8,8.0,96,7
101,2026-02-13T00:00:00,21.9,9.0,102,8
101,2026-02-14T00:00:00,22.1,10.0,108,10
101,2026-02-16T00:00:00,22.3,13.0,120,12
101,2026-02-18T00:00:00,22.7,14.0,132,13
101,2026-02-19T00:00:00,22.8,14.0,144,14
101,2026-02-20T00:00:00,23.0,15.0,152,15
101,2026-02-21T00:00:00,23.2,15.0,158,15
101,2026-02-23T00:00:00,23.5,16.0,140,16
101,2026-02-24T00:00:00,23.6,15.0,142,16
101,2026-02-26T00:00:00,23.9,16.0,148,16
101,2026-02-27T00:00:00,24.0,16.0,174,15
101,2026-02-28T00:00:00,24.2,17.0,197,19
101,2026-03-02T00:00:00,24.7,17.0,210,23
101,2026-03-03T00:00:00,24.9,15.0,223,22
101,2026-03-04T00:00:00,24.7,16.0,241,23
101,2026-03-05T00:00:00,24.5,16.0,248,25
101,2026-03-06T00:00:00,23.9,16.0,262,25
101,2026-03-07T00:00:00,21.2,15.0,275,25
101,2026-03-09T00:00:00,18.4,17.0,291,34
101,2026-03-10T00:00:00,18.4,17.0,297,34
101,2026-03-11T00:00:00,17.0,18.0,302,34
101,2026-03-12T00:00:00,17.0,18.0,312,34
101,2026-03-13T00:00:00,17.0,18.0,321,34
101,2026-03-14T00:00:00,17.0,16.0,325,34
101,2026-03-16T00:00:00,17.0,16.0,322,34
101,2026-03-17T00:00:00,17.0,17.0,326,35
102,2026-02-06T00:00:00,22.4,8.0,31,6
102,2026-02-07T00:00:00,22.4,8.0,33,6
102,2026-02-09T00:00:00,22.8,8.0,35,6
102,2026-02-10T00:00:00,23.0,8.0,37,6
102,2026-02-11T00:00:00,23.2,8.0,39,5
102,2026-02-12T00:00:00,23.5,9.0,43,6
102,2026-02-13T00:00:00,23.7,9.0,44,6
102,2026-02-14T00:00:00,24.0,9.0,45,8
102,2026-02-16T00:00:00,24.3,10.0,48,10
102,2026-02-18T00:00:00,24.8,11.0,50,12
102,2026-02-19T00:00:00,25.0,10.0,52,14
102,2026-02-20T00:00:00,25.2,11.0,65,16
102,2026-02-21T00:00:00,25.3,10.0,72,17
102,2026-02-23T00:00:00,25.7,11.0,84,19
102,2026-02-24T00:00:00,26.0,11.0,96,19
102,2026-02-26T00:00:00,26.8,12.0,155,21
102,2026-02-27T00:00:00,27.0,13.0,187,22
102,2026-02-28T00:00:00,27.5,14.0,193,23
102,2026-03-02T00:00:00,28.7,16.0,202,25
102,2026-03-03T00:00:00,28.8,16.0,222,26
102,2026-03-04T00:00:00,28.9,16.0,241,27
102,2026-03-05T00:00:00,28.9,17.0,253,28
102,2026-03-06T00:00:00,29.1,17.0,257,27
102,2026-03-07T00:00:00,29.4,18.0,273,28
102,2026-03-09T00:00:00,30.5,21.0,299,30
102,2026-03-10T00:00:00,30.5,21.0,311,30
102,2026-03-11T00:00:00,30.7,22.0,323,30
102,2026-03-12T00:00:00,31.3,24.0,350,30
102,2026-03-13T00:00:00,31.3,24.0,339,32
102,2026-03-14T00:00:00,31.3,24.0,308,32
102,2026-03-16T00:00:00,32.0,25.0,312,33
102,2026-03-17T00:00:00,32.3,26.0,314,34
103,2026-02-06T00:00:00,22.6,11.0,95,9
103,2026-02-07T00:00:00,22.7,11.0,100,10
