date,plant_system,plant_no,height,length,leaves,branches
2026-02-06,DWC,1,29.3,48.1,12,5
2026-02-07,DWC,1,29.5,48.4,12,5
2026-02-09,DWC,1,29.8,48.9,14,5
2026-02-10,DWC,1,30.1,49.3,16,5
2026-02-11,DWC,1,30.6,49.8,17,5
2026-02-12,DWC,1,30.8,50.1,19,5
2026-02-13,DWC,1,31.5,50.9,24,8
2026-02-14,DWC,1,32,51.5,36,9
2026-02-16,DWC,1,32.3,51.8,53,15
2026-02-18,DWC,1,32.9,52.7,58,15
2026-02-19,DWC,1,33.3,53.6,64,15
2026-02-20,DWC,1,33.6,54.1,69,16
2026-02-21,DWC,1,33.8,54.4,72,16
2026-02-23,DWC,1,34.4,55.2,75,16
2026-02-24,DWC,1,34.7,55.9,78,17
2026-02-26,DWC,1,35,56.5,81,24
2026-02-27,DWC,1,35.4,57,86,24
2026-02-28,DWC,1,35.7,57.4,93,24
2026-03-02,DWC,1,36.3,58.1,102,28
2026-03-03,DWC,1,36.6,58.6,114,28
2026-03-04,DWC,1,36.8,58.9,125,31
2026-03-05,DWC,1,37.2,59.3,135,22
2026-03-06,DWC,1,37.5,59.7,142,34
2026-03-07,DWC,1,37.8,60,145,34
2026-03-09,DWC,1,38.8,61.1,148,28
2026-03-10,DWC,1,39.1,61.4,150,23
2026-03-11,DWC,1,39.6,61.9,208,23
2026-03-12,DWC,1,40.1,62.5,210,23
2026-03-13,DWC,1,40.3,62.9,186,25
2026-03-14,DWC,1,40.4,63.5,164,25
2026-03-16,DWC,1,39,64,152,25
2026-03-17,DWC,1,39.2,64.3,154,25
2026-02-06,DWC,2,24.8,45.1,14,8
2026-02-07,DWC,2,25,45.4,14,8
2026-02-09,DWC,2,25.4,46,15,9
2026-02-10,DWC,2,25.7,46.3,18,9
2026-02-11,DWC,2,25.9,46.8,20,10
2026-02-12,DWC,2,26.1,47.1,22,10
2026-02-13,DWC,2,26.4,47.6,30,9
2026-02-14,DWC,2,26.8,48.3,56,9
2026-02-16,DWC,2,27.5,49.1,55,7
2026-02-18,DWC,2,28.1,49.8,57,7
2026-02-19,DWC,2,28.4,50.3,59,8
2026-02-20,DWC,2,28.6,50.7,65,8
2026-02-21,DWC,2,28.7,51,71,9
2026-02-23,DWC,2,29.3,51.8,69,7
2026-02-24,DWC,2,29.6,52.2,67,7
2026-02-26,DWC,2,30.3,53.1,64,6
2026-02-27,DWC,2,30.7,53.8,62,5
2026-02-28,DWC,2,30.9,54.2,62,5
2026-03-02,DWC,2,31.5,55,58,5
2026-03-03,DWC,2,31.7,55.3,55,5
2026-03-04,DWC,2,32,55.8,53,5
2026-03-05,DWC,2,32.3,56.2,48,5
2026-03-06,DWC,2,32.5,56.6,49,4
2026-03-07,DWC,2,32.9,57.4,50,4
2026-03-09,DWC,2,33.5,58,56,8
2026-03-10,DWC,2,33.7,58.6,60,8
2026-03-11,DWC,2,34,59.1,71,8
2026-03-12,DWC,2,34.3,59.5,88,9
2026-03-13,DWC,2,34.4,60.2,88,11
2026-03-14,DWC,2,34.6,60.6,80,11
2026-03-16,DWC,2,26.5,60.7,82,11
2026-03-17,DWC,2,26.8,60.7,84,11
2026-02-06,DWC,3,23.9,42.7,13,1
2026-02-07,DWC,3,24.1,43.1,13,1
2026-02-09,DWC,3,24.6,43.8,17,2
2026-02-10,DWC,3,24.9,44.1,22,2
2026-02-11,DWC,3,25.3,44.7,29,3
2026-02-12,DWC,3,25.5,45.1,31,3
2026-02-13,DWC,3,25.8,45.4,25,3
2026-02-14,DWC,3,26,45.7,34,3
2026-02-16,DWC,3,26.4,46.4,39,0
2026-02-18,DWC,3,26.9,47.1,38,0
2026-02-19,DWC,3,27.1,47.3,34,1
2026-02-20,DWC,3,27.4,47.8,39,2
2026-02-21,DWC,3,27.6,48.1,40,2
2026-02-23,DWC,3,28.2,48.8,37,2
2026-02-24,DWC,3,28.4,49.2,35,2
2026-02-26,DWC,3,29.1,50.2,32,2
2026-02-27,DWC,3,29.3,50.6,30,1
2026-02-28,DWC,3,29.5,51,29,1
2026-03-02,DWC,3,30.2,51.8,33,2
2026-03-03,DWC,3,30.5,52.1,34,3
2026-03-04,DWC,3,30.7,52.6,36,5
2026-03-05,DWC,3,31,53,31,6
2026-03-06,DWC,3,31.2,53.3,35,7
2026-03-07,DWC,3,31.4,53.8,41,7
2026-03-09,DWC,3,31.8,54.4,49,8
2026-03-10,DWC,3,32.3,55,52,10
2026-03-11,DWC,3,32.6,55.3,74,12
2026-03-12,DWC,3,32.8,55.7,109,11
2026-03-13,DWC,3,33.1,56.5,99,11
2026-03-14,DWC,3,33.6,57.1,91,11
2026-03-16,DWC,3,33.8,57.3,91,11
2026-03-17,DWC,3,34,57.6,94,11
2026-02-06,DWC,4,27,16,15,8
2026-02-07,DWC,4,27.2,16.3,15,8
2026-02-09,DWC,4,27.6,16.8,20,9
2026-02-10,DWC,4,27.7,17,24,9
2026-02-11,DWC,4,28,17.4,28,10
2026-02-12,DWC,4,28.2,17.7,28,10
2026-02-13,DWC,4,28.5,18.2,16,10
2026-02-14,DWC,4,28.9,18.9,26,10
2026-02-16,DWC,4,29.1,19.2,19,5
2026-02-18,DWC,4,29.5,19.8,20,5
2026-02-19,DWC,4,29.7,20.1,22,5
2026-02-20,DWC,4,30.2,20.6,25,5
2026-02-21,DWC,4,30.5,21,26,4
2026-02-23,DWC,4,31.1,21.7,26,4
2026-02-24,DWC,4,31.2,21.9,28,4
2026-02-26,DWC,4,31.7,22.5,29,3
2026-02-27,DWC,4,31.8,22.8,27,3
2026-02-28,DWC,4,32.1,23.2,27,2
2026-03-02,DWC,4,32.5,23.7,26,2
2026-03-03,DWC,4,32.7,24.2,27,2
2026-03-04,DWC,4,33,25,26,2
2026-03-05,DWC,4,33.6,25.8,25,2
2026-03-06,DWC,4,33.6,25.5,24,2
2026-03-07,DWC,4,33.2,24.9,24,2
2026-03-09,DWC,4,32.9,24.2,26,5
2026-03-10,DWC,4,32.9,23.2,26,5
2026-03-11,DWC,4,27.3,15,19,4
2026-03-12,DWC,4,25.1,14.7,27,5
2026-03-13,DWC,4,25,13.2,28,5
2026-03-14,DWC,4,25,12.9,28,5
2026-03-16,DWC,4,25.2,13,26,5
2026-03-17,DWC,4,25.3,13.2,27,5
2026-02-06,DWC,5,23.1,45.4,18,4
2026-02-07,DWC,5,23.3,45.7,18,4
2026-02-09,DWC,5,23.6,46.1,20,5
2026-02-10,DWC,5,23.8,46.5,21,6
2026-02-11,DWC,5,23.9,46.8,21,6
2026-02-12,DWC,5,24.2,47.3,23,7
2026-02-13,DWC,5,24.4,47.8,22,7
2026-02-14,DWC,5,24.7,48.4,46,7
2026-02-16,DWC,5,25.2,49.1,60,8
2026-02-18,DWC,5,25.6,49.6,63,8
2026-02-19,DWC,5,25.9,50.2,63,8
2026-02-20,DWC,5,26.4,50.7,65,9
2026-02-21,DWC,5,26.9,51.3,67,9
2026-02-23,DWC,5,27.4,51.9,70,10
2026-02-24,DWC,5,27.9,52.6,72,10
2026-02-26,DWC,5,28.5,53.1,73,11
2026-02-27,DWC,5,28.9,53.8,75,11
2026-02-28,DWC,5,29.3,54.5,75,12
2026-03-02,DWC,5,29.9,55,78,13
2026-03-03,DWC,5,30.6,55.7,81,16
2026-03-04,DWC,5,31.4,56.5,81,16
2026-03-05,DWC,5,32.2,57.4,85,18
2026-03-06,DWC,5,32.5,58.4,92,18
2026-03-07,DWC,5,32.7,58.7,92,18
2026-03-09,DWC,5,33.5,59.5,96,16
2026-03-10,DWC,5,34.2,60.3,98,16
2026-03-11,DWC,5,34.4,60.6,126,17
2026-03-12,DWC,5,34.7,61.1,109,14
2026-03-13,DWC,5,35,61.6,117,14
2026-03-14,DWC,5,35.4,62,130,14
2026-03-16,DWC,5,36,62.1,127,14
2026-03-17,DWC,5,36.5,62.3,130,14
2026-02-06,DWC,6,21.4,29.8,8,0
2026-02-07,DWC,6,21.5,30.1,8,0
2026-02-09,DWC,6,21.9,30.7,11,2
2026-02-10,DWC,6,22.3,31.3,16,2
2026-02-11,DWC,6,22.5,31.6,16,2
2026-02-12,DWC,6,22.6,31.8,20,4
2026-02-13,DWC,6,22.6,32.1,17,4
2026-02-14,DWC,6,23.1,32.9,17,4
2026-02-16,DWC,6,23.5,33.4,15,4
2026-02-18,DWC,6,23.8,33.9,15,4
2026-02-19,DWC,6,24.1,34.3,17,4
2026-02-20,DWC,6,23.9,34.5,17,4
2026-02-21,DWC,6,23.8,34.6,13,4
2026-02-23,DWC,6,23.5,34.9,13,2
2026-02-24,DWC,6,23.4,35.1,13,2
2026-02-26,DWC,6,23.1,35.4,11,2
2026-02-27,DWC,6,22.9,35.6,11,1
2026-02-28,DWC,6,22.5,35.9,8,0
2026-03-02,DWC,6,22.1,36.1,0,0
2026-03-03,DWC,6,0,0,0,0
2026-03-04,DWC,6,0,0,0,0
2026-03-05,DWC,6,0,0,0,0
2026-03-06,DWC,6,0,0,0,0
2026-03-07,DWC,6,0,0,0,0
2026-03-09,DWC,6,0,0,0,0
2026-03-10,DWC,6,0,0,0,0
2026-03-11,DWC,6,0,0,0,0
2026-03-12,DWC,6,0,0,0,0
2026-03-13,DWC,6,0,0,0,0
2026-03-14,DWC,6,0,0,0,0
2026-03-16,DWC,6,0,0,0,0
2026-03-17,DWC,6,0,0,0,0
