iteration,sensor,latency_ms,timestamp_source,http_rtt_ms,measured_at_utc
2,ph,11263.42,ph,8114.93,2026-03-24T09:38:27.696335+00:00
2,do,11263.42,do_mg_per_l,8114.93,2026-03-24T09:38:27.696335+00:00
2,tds,11263.42,tds_ppm,8114.93,2026-03-24T09:38:27.696335+00:00
2,temp,11263.42,temperature_c,8114.93,2026-03-24T09:38:27.696335+00:00
2,hum,11263.42,humidity,8114.93,2026-03-24T09:38:27.696335+00:00
3,ph,6297.99,ph,4140.93,2026-03-24T09:38:33.840503+00:00
3,do,6297.99,do_mg_per_l,4140.93,2026-03-24T09:38:33.840503+00:00
3,tds,6297.99,tds_ppm,4140.93,2026-03-24T09:38:33.840503+00:00
3,temp,6297.99,temperature_c,4140.93,2026-03-24T09:38:33.840503+00:00
3,hum,6297.99,humidity,4140.93,2026-03-24T09:38:33.840503+00:00
4,ph,6189.91,ph,2933.25,2026-03-24T09:38:38.774061+00:00
4,do,6189.91,do_mg_per_l,2933.25,2026-03-24T09:38:38.774061+00:00
4,tds,6189.91,tds_ppm,2933.25,2026-03-24T09:38:38.774061+00:00
4,temp,6189.91,temperature_c,2933.25,2026-03-24T09:38:38.774061+00:00
4,hum,6189.91,humidity,2933.25,2026-03-24T09:38:38.774061+00:00
5,ph,2679.48,ph,2263.34,2026-03-24T09:38:43.040149+00:00
5,do,2679.48,do_mg_per_l,2263.34,2026-03-24T09:38:43.040149+00:00
5,tds,2679.48,tds_ppm,2263.34,2026-03-24T09:38:43.040149+00:00
5,temp,2679.48,temperature_c,2263.34,2026-03-24T09:38:43.040149+00:00
5,hum,2679.48,humidity,2263.34,2026-03-24T09:38:43.040149+00:00
6,ph,2544.29,ph,2473.33,2026-03-24T09:38:47.513861+00:00
6,do,2544.29,do_mg_per_l,2473.33,2026-03-24T09:38:47.513861+00:00
6,tds,2544.29,tds_ppm,2473.33,2026-03-24T09:38:47.513861+00:00
6,temp,2544.29,temperature_c,2473.33,2026-03-24T09:38:47.513861+00:00
6,hum,2544.29,humidity,2473.33,2026-03-24T09:38:47.513861+00:00
7,ph,2733.52,ph,2215.64,2026-03-24T09:38:51.730826+00:00
7,do,2733.52,do_mg_per_l,2215.64,2026-03-24T09:38:51.730826+00:00
7,tds,2733.52,tds_ppm,2215.64,2026-03-24T09:38:51.730826+00:00
7,temp,2733.52,temperature_c,2215.64,2026-03-24T09:38:51.730826+00:00
7,hum,2733.52,humidity,2215.64,2026-03-24T09:38:51.730826+00:00
8,ph,3548.00,ph,2258.97,2026-03-24T09:38:55.990144+00:00
8,do,3548.00,do_mg_per_l,2258.97,2026-03-24T09:38:55.990144+00:00
8,tds,3548.00,tds_ppm,2258.97,2026-03-24T09:38:55.990144+00:00
8,temp,3548.00,temperature_c,2258.97,2026-03-24T09:38:55.990144+00:00
8,hum,3548.00,humidity,2258.97,2026-03-24T09:38:55.990144+00:00
9,ph,4792.70,ph,3180.40,2026-03-24T09:39:01.177741+00:00
9,do,4792.70,do_mg_per_l,3180.40,2026-03-24T09:39:01.177741+00:00
9,tds,4792.70,tds_ppm,3180.40,2026-03-24T09:39:01.177741+00:00
9,temp,4792.70,temperature_c,3180.40,2026-03-24T09:39:01.177741+00:00
9,hum,4792.70,humidity,3180.40,2026-03-24T09:39:01.177741+00:00
10,ph,3191.91,ph,2415.05,2026-03-24T09:39:05.593206+00:00
10,do,3191.91,do_mg_per_l,2415.05,2026-03-24T09:39:05.593206+00:00
10,tds,3191.91,tds_ppm,2415.05,2026-03-24T09:39:05.593206+00:00
10,temp,3191.91,temperature_c,2415.05,2026-03-24T09:39:05.593206+00:00
10,hum,3191.91,humidity,2415.05,2026-03-24T09:39:05.593206+00:00
11,ph,3257.98,ph,2078.43,2026-03-24T09:39:09.672029+00:00
11,do,3257.98,do_mg_per_l,2078.43,2026-03-24T09:39:09.672029+00:00
11,tds,3257.98,tds_ppm,2078.43,2026-03-24T09:39:09.672029+00:00
11,temp,3257.98,temperature_c,2078.43,2026-03-24T09:39:09.672029+00:00
11,hum,3257.98,humidity,2078.43,2026-03-24T09:39:09.672029+00:00
12,ph,4186.68,ph,2889.95,2026-03-24T09:39:14.562402+00:00
12,do,4186.68,do_mg_per_l,2889.95,2026-03-24T09:39:14.562402+00:00
12,tds,4186.68,tds_ppm,2889.95,2026-03-24T09:39:14.562402+00:00
12,temp,4186.68,temperature_c,2889.95,2026-03-24T09:39:14.562402+00:00
12,hum,4186.68,humidity,2889.95,2026-03-24T09:39:14.562402+00:00
13,ph,5521.00,ph,5286.78,2026-03-24T09:39:21.850269+00:00
13,do,5521.00,do_mg_per_l,5286.78,2026-03-24T09:39:21.850269+00:00
13,tds,5521.00,tds_ppm,5286.78,2026-03-24T09:39:21.850269+00:00
13,temp,5521.00,temperature_c,5286.78,2026-03-24T09:39:21.850269+00:00
13,hum,5521.00,humidity,5286.78,2026-03-24T09:39:21.850269+00:00
14,ph,,ERROR,,2026-03-24T09:39:33.861829+00:00
14,do,,ERROR,,2026-03-24T09:39:33.861829+00:00
14,tds,,ERROR,,2026-03-24T09:39:33.861829+00:00
14,temp,,ERROR,,2026-03-24T09:39:33.861829+00:00
14,hum,,ERROR,,2026-03-24T09:39:33.861829+00:00
15,ph,10921.09,ph,6209.15,2026-03-24T09:39:42.071194+00:00
15,do,10921.09,do_mg_per_l,6209.15,2026-03-24T09:39:42.071194+00:00
15,tds,10921.09,tds_ppm,6209.15,2026-03-24T09:39:42.071194+00:00
15,temp,10921.09,temperature_c,6209.15,2026-03-24T09:39:42.071194+00:00
15,hum,10921.09,humidity,6209.15,2026-03-24T09:39:42.071194+00:00
16,ph,4237.87,ph,2445.85,2026-03-24T09:39:46.525036+00:00
